Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","50260","Area","27002","Holdings","1960","1960","ha","975000","A","Official figure","Data pertains to commercial holdings only and it excludes Zanizibar"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","5017","Average area","27002","Holdings","1960","1960","ha","785.66","A","Official figure","Data pertains to commercial holdings only and it excludes Zanizibar"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","27002","Holdings","1960","1960","No","1241","A","Official figure","Data pertains to commercial holdings only and it excludes Zanizibar"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","50260","Area","270030","Holdings with land size 0-<1","1960","1960","ha","100","A","Official figure",""
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270030","Holdings with land size 0-<1","1960","1960","No","335","A","Official figure",""
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","50260","Area","270037","Holdings with land size 10-<20","1960","1960","ha","1100","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270037","Holdings with land size 10-<20","1960","1960","No","76","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","50260","Area","270038","Holdings with land size 20-<50","1960","1960","ha","2500","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270038","Holdings with land size 20-<50","1960","1960","No","70","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","50260","Area","270039","Holdings with land size 50-<100","1960","1960","ha","3200","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","270039","Holdings with land size 50-<100","1960","1960","No","50","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","50260","Area","2700300","Holdings with land size 100-<200","1960","1960","ha","18600","A","Official figure","Tanganyika currently part of Tanzania"
"WCAD","Structural data from agricultural censuses","834","United Republic of Tanzania","60850","Number","2700300","Holdings with land size 100-<200","1960","1960","No","130","A","Official figure","Tanganyika currently part of Tanzania"
